run,class,images,instances,precision,recall,mAP50,mAP50_95,selected_epoch_or_checkpoint
Development v1 — 640,fire,58,216,0.6620183642635583,0.4896902595048802,0.5255677824507394,0.252736259634074,best.pt (epoch 33)
Development v1 — 640,smoke,57,73,0.4856456941230422,0.4383561643835616,0.4298136071113334,0.2358469731431119,best.pt (epoch 33)
Development v2 — 640,fire,58,216,0.5367281365752723,0.5648148148148148,0.5326628627715219,0.2542270424516802,best.pt (epoch 50)
Development v2 — 640,smoke,57,73,0.5874129565142567,0.3972602739726027,0.4409546011718677,0.2125453192096392,best.pt (epoch 50)
Development v2 — 960,fire,58,216,0.5173243566693189,0.6203703703703703,0.5723573319018201,0.2852256032403532,best.pt (epoch 50)
Development v2 — 960,smoke,57,73,0.5355505644884259,0.3561643835616438,0.3201562814594381,0.1540076405129426,best.pt (epoch 50)
