run,selection,epoch,precision,recall,mAP50,mAP50_95
Development v1 — 640,best.pt on retained v2 validation,33,0.5738320291933002,0.4640232119442209,0.4776906947810364,0.244291616388593
Development v2 — 640,best.pt on retained v2 validation,50,0.5620705465447645,0.4810375443937087,0.4868087319716948,0.2333861808306597
Development v2 — 960,best.pt on retained v2 validation,50,0.5264374605788724,0.4882673769660071,0.4462568066806291,0.2196166218766479
