run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50_95,learning_rate
v1_640,18,1.62861,1.55497,1.40558,2.08644,2.414,1.72029,0.38967,0.30308,0.29572,0.12394,0.00110589
v1_640,19,1.66305,1.46754,1.42508,1.99188,2.38923,1.65853,0.34992,0.37123,0.29399,0.12463,0.00107288
v1_640,20,1.54761,1.45651,1.35241,1.93232,2.16475,1.7354,0.44424,0.3047,0.30236,0.131,0.00103987
v1_640,21,1.5832,1.40699,1.36604,1.91328,2.22668,1.62189,0.31556,0.38092,0.2931,0.13619,0.00100687
v1_640,22,1.55298,1.45835,1.35373,1.97655,2.17282,1.72471,0.33917,0.39049,0.29744,0.12682,0.000973861
v1_640,23,1.59772,1.40236,1.39373,1.9404,1.92811,1.62396,0.40353,0.37877,0.32096,0.14462,0.000940855
v1_640,24,1.50076,1.31551,1.33512,1.95166,1.8584,1.58934,0.42202,0.39401,0.35473,0.15726,0.000907848
v1_640,25,1.52817,1.35437,1.33255,1.97702,1.80565,1.60374,0.41141,0.36657,0.36072,0.15388,0.000874842
v1_640,26,1.50162,1.35237,1.30304,1.98132,1.88039,1.63789,0.38082,0.45481,0.32824,0.1428,0.000841835
v1_640,27,1.43767,1.24778,1.28941,2.01069,1.85732,1.68116,0.62171,0.3707,0.39088,0.16949,0.000808828
v1_640,28,1.48046,1.2769,1.30282,2.00157,1.81756,1.6505,0.39436,0.40172,0.30826,0.14972,0.000775822
v1_640,29,1.47596,1.21507,1.33009,1.97106,1.79994,1.66694,0.44035,0.42701,0.35832,0.17517,0.000742815
v1_640,30,1.44032,1.14571,1.28068,1.96535,1.85,1.6649,0.45379,0.39598,0.38263,0.18783,0.000709809
v1_640,31,1.45805,1.18849,1.31515,1.9574,1.8878,1.70469,0.47544,0.33608,0.36411,0.17636,0.000676802
v1_640,32,1.41191,1.18343,1.2978,1.9011,1.84454,1.61419,0.49956,0.40011,0.37919,0.19077,0.000643795
v1_640,33,1.38816,1.14951,1.24736,1.92414,1.76518,1.64778,0.48614,0.42898,0.40514,0.20551,0.000610789
v1_640,34,1.35623,1.06003,1.23902,1.94575,1.74235,1.69415,0.39595,0.47718,0.4017,0.19339,0.000577782
v1_640,35,1.36267,1.10108,1.2487,1.93304,1.78494,1.66887,0.4013,0.45391,0.39021,0.1858,0.000544776
v1_640,36,1.31896,1.02204,1.20864,1.92772,1.87223,1.66264,0.53594,0.38433,0.39088,0.18775,0.000511769
v1_640,37,1.36522,1.04381,1.26095,1.89926,1.82785,1.66847,0.45462,0.3854,0.39529,0.2,0.000478762
v1_640,38,1.34655,1.05549,1.20346,1.93434,1.74257,1.64235,0.61141,0.37895,0.39409,0.18792,0.000445756
v1_640,39,1.29158,1.02175,1.21396,1.92204,1.74762,1.6625,0.55062,0.37213,0.40245,0.19756,0.000412749
v1_640,40,1.26206,0.95162,1.18823,1.90266,1.77919,1.66958,0.51779,0.33934,0.36104,0.18315,0.000379743
v1_640,41,1.34943,1.03712,1.23577,1.93315,1.906,1.66957,0.45528,0.40061,0.33786,0.17386,0.000346736
v1_640,42,1.29955,0.98241,1.21764,1.94165,1.86302,1.7221,0.5016,0.36209,0.37103,0.18463,0.000313729
v1_640,43,1.29081,0.9353,1.21589,1.96102,1.82889,1.72764,0.45055,0.38128,0.35483,0.18091,0.000280723
v1_640,44,1.34101,0.99987,1.25017,1.94676,1.79374,1.66647,0.52254,0.33608,0.36561,0.18729,0.000247716
v1_640,45,1.24964,0.90501,1.2015,1.93124,1.7853,1.64341,0.47211,0.43867,0.39495,0.19401,0.00021471
v1_640,46,1.18251,0.83181,1.14447,1.91912,1.77647,1.64659,0.44055,0.42755,0.38011,0.1868,0.000181703
v1_640,47,1.1727,0.80195,1.12512,1.91452,1.74949,1.65526,0.43715,0.46359,0.40005,0.18933,0.000148696
v1_640,48,1.17883,0.8306,1.12131,1.92899,1.75789,1.68031,0.39792,0.44835,0.38781,0.18621,0.00011569
v2_640,1,1.97971,3.7424,1.68461,2.00476,5.19571,1.76576,0.64342,0.13956,0.12755,0.04868,0.00046676
v2_640,2,1.8599,2.38411,1.60307,2.26332,11.7885,3.19375,0.10879,0.13982,0.05509,0.01915,0.000931376
v2_640,3,1.90955,2.20581,1.63513,,,,0.00904,0.38236,0.00593,0.00207,0.00137685
v2_640,4,1.99834,2.08897,1.69109,2.41669,7.03587,2.84086,0.12256,0.18674,0.05926,0.0223,0.00156798
v2_640,5,1.98886,2.03606,1.65824,2.17132,11.733,2.27264,0.14438,0.30701,0.13865,0.0497,0.00153497
v2_640,6,1.89319,1.98262,1.63448,2.32407,4.34936,2.23126,0.14519,0.1524,0.09456,0.03378,0.00150197
v2_640,7,1.90161,1.94059,1.62678,2.18523,3.64774,1.96234,0.12709,0.23766,0.12187,0.04875,0.00146896
v2_640,8,1.82916,1.86577,1.56854,2.15314,4.13337,1.93508,0.24425,0.29912,0.18317,0.07079,0.00143595
v2_640,9,1.84188,1.81601,1.57104,2.08518,2.60777,1.80746,0.3339,0.28396,0.26557,0.10245,0.00140295
v2_640,10,1.78377,1.78585,1.54166,1.96112,2.5425,1.77142,0.30933,0.23129,0.21468,0.09861,0.00136994
v2_640,11,1.79149,1.79669,1.5517,2.04224,2.10957,1.77009,0.37837,0.37329,0.31693,0.13666,0.00133693
v2_640,12,1.77125,1.77085,1.54144,1.89198,1.92002,1.64839,0.46121,0.30616,0.30239,0.13638,0.00130393
v2_640,13,1.66396,1.66007,1.48032,1.92734,1.87702,1.69895,0.41003,0.36181,0.29797,0.12984,0.00127092
v2_640,14,1.71876,1.63866,1.48325,1.99658,1.92402,1.7007,0.36759,0.42655,0.31889,0.1359,0.00123791
v2_640,15,1.70053,1.5845,1.45592,1.94118,2.03786,1.74716,0.34478,0.38414,0.28807,0.12317,0.00120491
v2_640,16,1.70522,1.66579,1.48018,1.98884,1.90945,1.7384,0.3044,0.42402,0.31144,0.13244,0.0011719
v2_640,17,1.64835,1.54871,1.45978,2.01463,2.04648,1.71271,0.35497,0.37598,0.30855,0.12151,0.00113889
v2_640,18,1.65996,1.53253,1.4616,1.95954,1.83848,1.66837,0.51187,0.37135,0.38841,0.16422,0.00110589
v2_640,19,1.67351,1.58632,1.47044,1.86864,1.87834,1.65838,0.48391,0.3579,0.34387,0.14947,0.00107288
v2_640,20,1.64696,1.5317,1.44582,1.84528,1.90757,1.63654,0.48224,0.39133,0.37982,0.169,0.00103987
v2_640,21,1.57914,1.50718,1.42461,1.996,1.92148,1.76445,0.40608,0.37357,0.34875,0.14497,0.00100687
v2_640,22,1.56567,1.39244,1.40123,1.95426,1.76297,1.7027,0.5174,0.35033,0.38809,0.1819,0.000973861
v2_640,23,1.55963,1.38911,1.38848,1.95095,1.89893,1.67241,0.39698,0.38061,0.33252,0.14855,0.000940855
v2_640,24,1.5964,1.41812,1.40304,1.82687,1.69018,1.59753,0.57385,0.38448,0.41589,0.18718,0.000907848
v2_640,25,1.5332,1.36833,1.34016,1.76988,1.62402,1.53949,0.51214,0.44476,0.40221,0.18979,0.000874842
v2_640,26,1.54897,1.35368,1.36989,1.79821,1.72253,1.57434,0.52376,0.43222,0.39927,0.18059,0.000841835
v2_640,27,1.50891,1.31998,1.38152,1.82144,1.68948,1.64017,0.4856,0.41245,0.41859,0.18772,0.000808828
v2_640,28,1.5111,1.31336,1.34711,1.94841,1.66105,1.65504,0.51849,0.49884,0.4191,0.18456,0.000775822
v2_640,29,1.50399,1.28928,1.35225,1.83229,1.76062,1.65454,0.37393,0.44958,0.36573,0.16027,0.000742815
v2_640,30,1.43846,1.24927,1.32877,1.8133,1.60568,1.60182,0.55163,0.44252,0.40624,0.18817,0.000709809
v2_640,31,1.50424,1.24809,1.34426,1.79259,1.61155,1.60655,0.43015,0.44457,0.41632,0.19494,0.000676802
v2_640,32,1.44537,1.27987,1.3258,1.84873,1.76384,1.63075,0.57748,0.39393,0.39861,0.17883,0.000643795
v2_640,33,1.42567,1.20554,1.31073,1.82189,1.71964,1.59564,0.4499,0.46616,0.41388,0.18689,0.000610789
v2_640,34,1.41847,1.20445,1.2937,1.8323,1.59943,1.63175,0.58366,0.44625,0.47365,0.20081,0.000577782
v2_640,35,1.41721,1.12941,1.28482,1.86017,1.71107,1.66739,0.43651,0.44476,0.40719,0.1825,0.000544776
v2_640,36,1.41835,1.13662,1.28364,1.83105,1.5726,1.62666,0.47044,0.49483,0.44573,0.20052,0.000511769
v2_640,37,1.38005,1.09745,1.27274,1.75045,1.47982,1.56685,0.63297,0.45586,0.48263,0.22379,0.000478762
v2_640,38,1.35142,1.06872,1.24314,1.76936,1.52509,1.5899,0.51172,0.46975,0.44856,0.21377,0.000445756
v2_640,39,1.33377,1.04374,1.24892,1.78398,1.58356,1.61605,0.55881,0.45355,0.45101,0.21729,0.000412749
v2_640,40,1.34404,1.06492,1.27552,1.7921,1.59334,1.60186,0.51895,0.48104,0.42929,0.20181,0.000379743
v2_640,41,1.40378,1.11262,1.30172,1.80361,1.64388,1.61559,0.60687,0.38283,0.42446,0.19259,0.000346736
v2_640,42,1.35945,1.04789,1.26919,1.7652,1.61498,1.59256,0.43963,0.41949,0.39338,0.18424,0.000313729
v2_640,43,1.38223,1.03667,1.28937,1.8002,1.61431,1.61939,0.53128,0.39644,0.39339,0.18083,0.000280723
v2_640,44,1.35963,1.01693,1.26266,1.77469,1.59511,1.64654,0.57445,0.41013,0.44206,0.22248,0.000247716
v2_640,45,1.27959,0.96259,1.22638,1.81545,1.59591,1.65175,0.49955,0.46049,0.42951,0.20175,0.00021471
v2_640,46,1.24897,0.93148,1.21586,1.77969,1.50696,1.65124,0.54438,0.47337,0.45572,0.21647,0.000181703
v2_640,47,1.25434,0.90922,1.2053,1.77387,1.57407,1.64623,0.56956,0.4329,0.44735,0.22049,0.000148696
v2_640,48,1.23871,0.92511,1.22207,1.78952,1.62699,1.64867,0.49791,0.45133,0.42549,0.21163,0.00011569
v2_640,49,1.26066,0.88263,1.22342,1.79045,1.59385,1.6275,0.53273,0.43975,0.4408,0.21778,8.26832e-05
v2_640,50,1.23765,0.88116,1.20149,1.76602,1.54127,1.61379,0.556,0.46386,0.48002,0.23106,4.96766e-05
v2_960,1,1.94419,4.02017,1.75863,2.28739,3.55952,2.20382,0.16803,0.25174,0.14376,0.04436,0.000550835
v2_960,2,1.98951,2.77326,1.88149,2.29519,4.24543,2.27134,0.20964,0.17796,0.15366,0.06393,0.00108459
v2_960,3,2.20424,3.12793,2.02706,2.35221,3.95164,2.39548,0.59543,0.17352,0.13497,0.05251,0.00159635
v2_960,4,2.13073,2.96302,1.98121,2.32718,4.7518,2.18011,0.66021,0.14815,0.1319,0.05126,0.00156798
v2_960,5,2.17772,2.84844,1.97484,2.44059,12.3388,2.33969,0.08018,0.19237,0.04728,0.01319,0.00153497
v2_960,6,2.06457,2.48346,1.89243,2.26216,3.69306,2.15535,0.16724,0.14815,0.13843,0.05264,0.00150197
v2_960,7,2.01587,2.45841,1.88122,2.26417,3.31489,2.08559,0.27707,0.17111,0.13564,0.05374,0.00146896
v2_960,8,2.05084,2.37385,1.88583,2.17961,3.09851,2.10623,0.23143,0.2051,0.15835,0.05543,0.00143595
v2_960,9,1.95895,2.36027,1.82251,2.12508,2.57276,2.00438,0.44266,0.2473,0.18796,0.07885,0.00140295
v2_960,10,1.93891,2.27941,1.83043,2.18417,2.89709,2.01195,0.28198,0.30758,0.18067,0.06546,0.00136994
v2_960,11,1.90713,2.21671,1.77967,2.13785,2.89862,2.03864,0.27233,0.30403,0.21546,0.08591,0.00133693
v2_960,12,1.92513,2.29931,1.82353,2.10226,2.88447,1.96318,0.30584,0.22203,0.189,0.07636,0.00130393
v2_960,13,1.87,2.23914,1.74579,2.16188,2.48949,1.97593,0.25952,0.3398,0.21906,0.09171,0.00127092
v2_960,14,1.92101,2.28003,1.77269,2.1722,2.6633,2.01162,0.28358,0.38562,0.2441,0.09156,0.00123791
v2_960,15,1.83758,2.03492,1.73474,2.07596,2.3504,1.94523,0.2868,0.31675,0.2481,0.09909,0.00120491
v2_960,16,1.85512,2.0361,1.70715,2.14165,2.42196,1.96359,0.39306,0.32293,0.27229,0.10838,0.0011719
v2_960,17,1.87957,2.10008,1.78131,2.10318,2.53504,1.96662,0.3393,0.38209,0.27555,0.1069,0.00113889
v2_960,18,1.83111,2.09957,1.7571,2.04849,2.25865,1.87152,0.72486,0.24437,0.30496,0.13889,0.00110589
v2_960,19,1.79859,2.22506,1.72491,2.0332,2.24622,1.8971,0.32419,0.40887,0.2899,0.12321,0.00107288
v2_960,20,1.77081,1.89747,1.69531,2.06493,2.16442,1.91506,0.46925,0.36443,0.31441,0.1254,0.00103987
v2_960,21,1.81192,1.94031,1.69562,2.0066,2.13495,1.90154,0.31028,0.37627,0.31567,0.14353,0.00100687
v2_960,22,1.74861,1.9165,1.67348,2.05898,2.1848,1.97573,0.29521,0.37655,0.27919,0.12003,0.000973861
v2_960,23,1.76213,1.8898,1.66594,2.07887,2.18119,1.92186,0.49119,0.37665,0.31803,0.13829,0.000940855
v2_960,24,1.67739,1.88269,1.57321,2.01235,2.13225,1.9006,0.5727,0.36257,0.31932,0.14842,0.000907848
v2_960,25,1.69219,1.81954,1.60065,1.95146,2.06627,1.8402,0.38018,0.34155,0.30862,0.13542,0.000874842
v2_960,26,1.7265,1.84619,1.63133,1.99285,2.11986,1.85211,0.39729,0.4407,0.3627,0.15641,0.000841835
v2_960,27,1.66445,1.76167,1.60906,1.97432,2.05525,1.83862,0.37432,0.45383,0.34891,0.1512,0.000808828
v2_960,28,1.68476,1.71337,1.58331,1.96824,1.9997,1.86628,0.44574,0.45884,0.4082,0.17726,0.000775822
v2_960,29,1.66788,1.76167,1.59799,1.9854,2.16998,1.90904,0.39743,0.39247,0.33657,0.15162,0.000742815
v2_960,30,1.63981,1.66506,1.59414,2.02168,2.30332,1.90676,0.4018,0.38949,0.32941,0.14084,0.000709809
v2_960,31,1.66218,1.67919,1.58955,1.98565,2.1099,1.82181,0.3653,0.47254,0.34281,0.15413,0.000676802
v2_960,32,1.59405,1.62745,1.51637,1.95429,1.94906,1.76902,0.44024,0.43644,0.37998,0.1721,0.000643795
v2_960,33,1.59555,1.62405,1.54831,1.9741,2.10735,1.86145,0.43558,0.39538,0.37408,0.16552,0.000610789
v2_960,34,1.58361,1.62776,1.52185,1.98642,2.0564,1.83595,0.34229,0.49588,0.39285,0.17447,0.000577782
v2_960,35,1.55731,1.70623,1.50025,1.98038,1.97556,1.84799,0.56779,0.37326,0.37952,0.16967,0.000544776
v2_960,36,1.60547,1.64793,1.51797,1.91039,2.03262,1.78249,0.4852,0.43281,0.39054,0.18083,0.000511769
v2_960,37,1.55023,1.59524,1.4898,1.93314,2.01435,1.79685,0.5111,0.4219,0.42693,0.18498,0.000478762
v2_960,38,1.54208,1.53725,1.49149,1.97064,1.88288,1.8267,0.42217,0.50542,0.4432,0.19747,0.000445756
v2_960,39,1.51774,1.46253,1.47153,1.898,1.86859,1.769,0.39706,0.469,0.37977,0.18411,0.000412749
v2_960,40,1.5209,1.48025,1.47648,1.87157,1.90769,1.7484,0.42878,0.41283,0.38607,0.18032,0.000379743
v2_960,41,1.58411,1.8883,1.52972,1.90807,2.0401,1.81402,0.48866,0.42624,0.41941,0.19761,0.000346736
v2_960,42,1.52362,1.55795,1.50576,1.90599,1.89973,1.81205,0.44532,0.45867,0.40686,0.18737,0.000313729
v2_960,43,1.53976,1.54227,1.48852,1.92235,1.87161,1.81073,0.50127,0.39441,0.42482,0.20651,0.000280723
v2_960,44,1.46989,1.40858,1.44328,1.9021,1.85759,1.77944,0.45264,0.45296,0.41123,0.19698,0.000247716
v2_960,45,1.56338,1.49611,1.51126,1.86982,1.8337,1.75517,0.43143,0.48614,0.40511,0.20099,0.00021471
v2_960,46,1.5661,1.43551,1.50663,1.87727,1.81208,1.75687,0.47691,0.51493,0.43232,0.21089,0.000181703
v2_960,47,1.50857,1.43448,1.48874,1.88802,1.82335,1.76128,0.52593,0.4791,0.45612,0.21023,0.000148696
v2_960,48,1.47419,1.35025,1.41171,1.86414,1.82754,1.73495,0.47175,0.49309,0.44298,0.20857,0.00011569
v2_960,49,1.49383,1.41131,1.48387,1.85406,1.81575,1.72711,0.49811,0.49531,0.43717,0.21411,8.26832e-05
v2_960,50,1.49199,1.36392,1.45962,1.827,1.76129,1.71864,0.52124,0.48595,0.44118,0.21707,4.96766e-05
